	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
171	17	0.0774	0.2591	2.1969	0.2414	1024	relu	mse
172	18	0.0769	0.2653	2.1831	0.2497	1024	relu	mse
173	19	0.0773	0.2595	2.1950	0.2404	1024	relu	mse
174	20	0.0767	0.2646	2.1955	0.2449	1024	relu	mse
175	1	2.0274	0.2565	1.8112	0.3472	64	tanh	xent
176	2	1.8005	0.3505	1.7677	0.3753	64	tanh	xent
177	3	1.7476	0.3776	1.7398	0.3831	64	tanh	xent
178	4	1.7139	0.3914	1.7104	0.4015	64	tanh	xent
179	5	1.6987	0.3962	1.6916	0.4104	64	tanh	xent
180	6	1.6861	0.4024	1.7081	0.3989	64	tanh	xent
181	7	1.6669	0.4097	1.6882	0.3983	64	tanh	xent
182	8	1.6658	0.4082	1.6778	0.4102	64	tanh	xent
183	9	1.6600	0.4133	1.6822	0.4152	64	tanh	xent
184	10	1.6560	0.4148	1.6877	0.4065	64	tanh	xent
185	11	1.6526	0.4156	1.7130	0.3983	64	tanh	xent
186	12	1.6385	0.4230	1.6648	0.4187	64	tanh	xent
187	13	1.6336	0.4186	1.6598	0.4152	64	tanh	xent
188	14	1.6318	0.4263	1.6875	0.4153	64	tanh	xent
189	15	1.6259	0.4261	1.6925	0.4097	64	tanh	xent
190	16	1.6298	0.4252	1.6833	0.4163	64	tanh	xent
191	17	1.6171	0.4300	1.6680	0.4177	64	tanh	xent
192	18	1.6146	0.4297	1.6704	0.4165	64	tanh	xent
193	19	1.6142	0.4281	1.6901	0.4099	64	tanh	xent
194	20	1.6173	0.4295	1.6867	0.4061	64	tanh	xent
195	1	2.0588	0.2249	1.8617	0.3088	128	tanh	xent
196	2	1.8158	0.3471	1.7551	0.3776	128	tanh	xent
197	3	1.7521	0.3698	1.7609	0.3759	128	tanh	xent
198	4	1.7156	0.3831	1.6933	0.3982	128	tanh	xent
199	5	1.6906	0.3960	1.7093	0.3929	128	tanh	xent
200	6	1.6653	0.4021	1.6654	0.4099	128	tanh	xent
201	7	1.6402	0.4160	1.6693	0.4029	128	tanh	xent
202	8	1.6307	0.4190	1.6590	0.4105	128	tanh	xent
203	9	1.6180	0.4230	1.6548	0.4150	128	tanh	xent
204	10	1.6038	0.4302	1.6451	0.4175	128	tanh	xent
205	11	1.5983	0.4314	1.6452	0.4178	128	tanh	xent
206	12	1.5852	0.4344	1.6369	0.4216	128	tanh	xent
207	13	1.5767	0.4395	1.6357	0.4194	128	tanh	xent
208	14	1.5679	0.4395	1.6515	0.4246	128	tanh	xent
209	15	1.5518	0.4491	1.6197	0.4295	128	tanh	xent
210	16	1.5470	0.4496	1.6293	0.4275	128	tanh	xent
211	17	1.5411	0.4508	1.6244	0.4307	128	tanh	xent
212	18	1.5455	0.4510	1.6383	0.4250	128	tanh	xent
213	19	1.5424	0.4534	1.6684	0.4191	128	tanh	xent
214	20	1.5305	0.4544	1.6390	0.4217	128	tanh	xent
215	1	2.1579	0.1768	2.0135	0.2307	256	tanh	xent
216	2	1.9133	0.2899	1.8446	0.3385	256	tanh	xent
217	3	1.8020	0.3498	1.7731	0.3555	256	tanh	xent
218	4	1.7570	0.3646	1.7135	0.3870	256	tanh	xent
219	5	1.7210	0.3790	1.7211	0.3921	256	tanh	xent
220	6	1.6931	0.3909	1.6973	0.4018	256	tanh	xent
221	7	1.6663	0.4031	1.6680	0.4054	256	tanh	xent
222	8	1.6471	0.4106	1.6650	0.4036	256	tanh	xent
223	9	1.6260	0.4192	1.6416	0.4159	256	tanh	xent
224	10	1.6115	0.4243	1.6442	0.4192	256	tanh	xent
225	11	1.5973	0.4296	1.6523	0.4119	256	tanh	xent
226	12	1.5831	0.4347	1.6026	0.4241	256	tanh	xent
227	13	1.5715	0.4381	1.6062	0.4300	256	tanh	xent
228	14	1.5586	0.4460	1.6160	0.4301	256	tanh	xent
229	15	1.5488	0.4475	1.6277	0.4266	256	tanh	xent
230	16	1.5440	0.4478	1.6171	0.4269	256	tanh	xent
231	17	1.5371	0.4494	1.6249	0.4264	256	tanh	xent
232	18	1.5383	0.4489	1.6131	0.4286	256	tanh	xent
233	19	1.5242	0.4558	1.6048	0.4312	256	tanh	xent
234	20	1.5066	0.4655	1.6067	0.4329	256	tanh	xent
235	1	2.1814	0.1696	2.0710	0.1983	512	tanh	xent
236	2	1.9816	0.2473	1.8986	0.2940	512	tanh	xent
237	3	1.8804	0.3095	1.8186	0.3390	512	tanh	xent
238	4	1.8418	0.3274	1.8626	0.3143	512	tanh	xent
239	5	1.7986	0.3402	1.7949	0.3452	512	tanh	xent
240	6	1.7578	0.3576	1.7351	0.3737	512	tanh	xent
241	7	1.7573	0.3597	1.7369	0.3704	512	tanh	xent
242	8	1.7194	0.3748	1.7244	0.3879	512	tanh	xent
243	9	1.7006	0.3874	1.7416	0.3812	512	tanh	xent
244	10	1.6755	0.3974	1.6808	0.4065	512	tanh	xent
245	11	1.6632	0.4017	1.6882	0.3921	512	tanh	xent
246	12	1.6517	0.4052	1.6899	0.4071	512	tanh	xent
247	13	1.6331	0.4111	1.6969	0.4055	512	tanh	xent
248	14	1.6254	0.4139	1.6561	0.4126	512	tanh	xent
249	15	1.5955	0.4247	1.6464	0.4146	512	tanh	xent
250	16	1.5917	0.4248	1.6546	0.4170	512	tanh	xent
251	17	1.5849	0.4267	1.6381	0.4158	512	tanh	xent
252	18	1.5781	0.4281	1.6537	0.4092	512	tanh	xent
253	19	1.5800	0.4337	1.6428	0.4196	512	tanh	xent
254	20	1.5749	0.4340	1.6529	0.4100	512	tanh	xent
255	1	2.2305	0.1611	2.1808	0.1562	1024	tanh	xent
256	2	2.1031	0.1870	2.0597	0.2006	1024	tanh	xent
257	3	2.0403	0.2243	1.9701	0.2631	1024	tanh	xent
258	4	1.9856	0.2567	1.9283	0.2903	1024	tanh	xent
259	5	1.8878	0.3013	1.8974	0.2984	1024	tanh	xent
260	6	1.8918	0.3037	1.8342	0.3304	1024	tanh	xent
261	7	1.8314	0.3255	1.8247	0.3244	1024	tanh	xent
262	8	1.7728	0.3536	1.7662	0.3586	1024	tanh	xent
263	9	1.7555	0.3610	1.7808	0.3649	1024	tanh	xent
264	10	1.7273	0.3722	1.7220	0.3835	1024	tanh	xent
265	11	1.7020	0.3809	1.7420	0.3645	1024	tanh	xent
266	12	1.6968	0.3864	1.7095	0.3812	1024	tanh	xent
267	13	1.6649	0.3957	1.6846	0.3907	1024	tanh	xent
268	14	1.6787	0.3933	1.7755	0.3643	1024	tanh	xent
269	15	1.6524	0.4024	1.7106	0.3884	1024	tanh	xent
270	16	1.6707	0.3941	1.7756	0.3590	1024	tanh	xent
271	17	1.6574	0.3966	1.6655	0.4003	1024	tanh	xent
272	18	1.6313	0.4076	1.6549	0.4130	1024	tanh	xent
273	19	1.5990	0.4209	1.6634	0.4056	1024	tanh	xent
274	20	1.5931	0.4191	1.6559	0.4086	1024	tanh	xent
275	1	0.0887	0.1792	2.2641	0.1763	64	tanh	mse
